date,sex,age,ethnicity,population
1987-01-01,female,80+,bumi,27.4
1987-01-01,female,80+,chinese,26.6
1987-01-01,female,80+,indian,1.6
1987-01-01,female,80+,other,0.3
1987-01-01,male,overall,overall,8494.7
1987-01-01,male,overall,bumi,5103.7
1987-01-01,male,overall,chinese,2450.3
1987-01-01,male,overall,indian,686.7
1987-01-01,male,overall,other,254.0
1987-01-01,male,0-4,overall,1235.5
1987-01-01,male,0-4,bumi,838.1
1987-01-01,male,0-4,chinese,275.5
1987-01-01,male,0-4,indian,87.5
1987-01-01,male,0-4,other,34.4
1987-01-01,male,5-9,overall,1069.0
1987-01-01,male,5-9,bumi,678.4
1987-01-01,male,5-9,chinese,282.6
1987-01-01,male,5-9,indian,83.4
1987-01-01,male,5-9,other,24.7
1987-01-01,male,10-14,overall,957.1
1987-01-01,male,10-14,bumi,587.7
1987-01-01,male,10-14,chinese,273.4
1987-01-01,male,10-14,indian,73.8
1987-01-01,male,10-14,other,22.3
1987-01-01,male,15-19,overall,874.0
1987-01-01,male,15-19,bumi,530.7
1987-01-01,male,15-19,chinese,239.9
1987-01-01,male,15-19,indian,68.0
1987-01-01,male,15-19,other,35.3
1987-01-01,male,20-24,overall,828.6
1987-01-01,male,20-24,bumi,494.4
1987-01-01,male,20-24,chinese,229.4
1987-01-01,male,20-24,indian,69.8
1987-01-01,male,20-24,other,35.0
1987-01-01,male,25-29,overall,739.7
1987-01-01,male,25-29,bumi,431.7
1987-01-01,male,25-29,chinese,211.3
1987-01-01,male,25-29,indian,66.0
1987-01-01,male,25-29,other,30.8
1987-01-01,male,30-34,overall,627.7
1987-01-01,male,30-34,bumi,352.8
1987-01-01,male,30-34,chinese,195.8
1987-01-01,male,30-34,indian,56.6
1987-01-01,male,30-34,other,22.5
1987-01-01,male,35-39,overall,510.9
1987-01-01,male,35-39,bumi,279.3
1987-01-01,male,35-39,chinese,173.0
1987-01-01,male,35-39,indian,43.8
1987-01-01,male,35-39,other,14.9
1987-01-01,male,40-44,overall,399.8
1987-01-01,male,40-44,bumi,217.5
1987-01-01,male,40-44,chinese,141.4
1987-01-01,male,40-44,indian,30.7
1987-01-01,male,40-44,other,10.2
1987-01-01,male,45-49,overall,329.4
1987-01-01,male,45-49,bumi,177.7
1987-01-01,male,45-49,chinese,118.7
1987-01-01,male,45-49,indian,25.2
1987-01-01,male,45-49,other,7.9
1987-01-01,male,50-54,overall,268.5
1987-01-01,male,50-54,bumi,148.6
1987-01-01,male,50-54,chinese,92.6
1987-01-01,male,50-54,indian,22.0
1987-01-01,male,50-54,other,5.3
1987-01-01,male,55-59,overall,208.4
1987-01-01,male,55-59,bumi,119.5
1987-01-01,male,55-59,chinese,66.1
1987-01-01,male,55-59,indian,18.8
1987-01-01,male,55-59,other,4.0
1987-01-01,male,60-64,overall,157.5
1987-01-01,male,60-64,bumi,93.3
1987-01-01,male,60-64,chinese,46.4
1987-01-01,male,60-64,indian,15.2
1987-01-01,male,60-64,other,2.6
1987-01-01,male,65-69,overall,115.3
1987-01-01,male,65-69,bumi,67.0
1987-01-01,male,65-69,chinese,34.5
1987-01-01,male,65-69,indian,11.4
1987-01-01,male,65-69,other,2.3
1987-01-01,male,70-74,overall,80.4
1987-01-01,male,70-74,bumi,42.4
1987-01-01,male,70-74,chinese,29.1
1987-01-01,male,70-74,indian,7.7
1987-01-01,male,70-74,other,1.2
1987-01-01,male,75-79,overall,48.6
1987-01-01,male,75-79,bumi,23.9
1987-01-01,male,75-79,chinese,19.4
1987-01-01,male,75-79,indian,4.8
1987-01-01,male,75-79,other,0.6
1987-01-01,male,80+,overall,44.3
1987-01-01,male,80+,bumi,20.8
1987-01-01,male,80+,chinese,21.2
1987-01-01,male,80+,indian,2.1
1987-01-01,male,80+,other,0.3
1988-01-01,both,overall,overall,17219.1
1988-01-01,both,overall,bumi,10480.5
1988-01-01,both,overall,chinese,4893.4
1988-01-01,both,overall,indian,1368.3
1988-01-01,both,overall,other,476.9
1988-01-01,both,0-4,overall,2451.5
1988-01-01,both,0-4,bumi,1686.4
1988-01-01,both,0-4,chinese,524.7
1988-01-01,both,0-4,indian,171.1
1988-01-01,both,0-4,other,69.3
1988-01-01,both,5-9,overall,2154.1
1988-01-01,both,5-9,bumi,1388.0
1988-01-01,both,5-9,chinese,548.7
1988-01-01,both,5-9,indian,165.9
1988-01-01,both,5-9,other,51.4
1988-01-01,both,10-14,overall,1906.4
1988-01-01,both,10-14,bumi,1183.0
1988-01-01,both,10-14,chinese,534.1
1988-01-01,both,10-14,indian,148.8
1988-01-01,both,10-14,other,40.6
1988-01-01,both,15-19,overall,1738.3
1988-01-01,both,15-19,bumi,1075.2
1988-01-01,both,15-19,chinese,468.1
1988-01-01,both,15-19,indian,134.0
1988-01-01,both,15-19,other,61.0
1988-01-01,both,20-24,overall,1663.5
1988-01-01,both,20-24,bumi,1010.9
1988-01-01,both,20-24,chinese,447.5
1988-01-01,both,20-24,indian,137.2
1988-01-01,both,20-24,other,67.8
1988-01-01,both,25-29,overall,1530.9
1988-01-01,both,25-29,bumi,909.4
1988-01-01,both,25-29,chinese,431.7
1988-01-01,both,25-29,indian,134.7
1988-01-01,both,25-29,other,55.1
1988-01-01,both,30-34,overall,1296.3
1988-01-01,both,30-34,bumi,739.1
1988-01-01,both,30-34,chinese,397.8
1988-01-01,both,30-34,indian,117.2
1988-01-01,both,30-34,other,42.3
1988-01-01,both,35-39,overall,1056.6
1988-01-01,both,35-39,bumi,588.9
1988-01-01,both,35-39,chinese,350.2
1988-01-01,both,35-39,indian,91.6
1988-01-01,both,35-39,other,25.9
1988-01-01,both,40-44,overall,810.4
1988-01-01,both,40-44,bumi,447.2
1988-01-01,both,40-44,chinese,280.8
1988-01-01,both,40-44,indian,64.1
1988-01-01,both,40-44,other,18.3
1988-01-01,both,45-49,overall,662.4
1988-01-01,both,45-49,bumi,364.3
1988-01-01,both,45-49,chinese,234.2
1988-01-01,both,45-49,indian,50.3
1988-01-01,both,45-49,other,13.6
1988-01-01,both,50-54,overall,552.2
1988-01-01,both,50-54,bumi,310.5
1988-01-01,both,50-54,chinese,188.4
1988-01-01,both,50-54,indian,43.7
1988-01-01,both,50-54,other,9.7
1988-01-01,both,55-59,overall,436.9
1988-01-01,both,55-59,bumi,251.3
1988-01-01,both,55-59,chinese,141.7
1988-01-01,both,55-59,indian,36.1
1988-01-01,both,55-59,other,7.9
1988-01-01,both,60-64,overall,333.2
1988-01-01,both,60-64,bumi,195.4
1988-01-01,both,60-64,chinese,105.0
1988-01-01,both,60-64,indian,27.6
1988-01-01,both,60-64,other,5.1
1988-01-01,both,65-69,overall,245.3
1988-01-01,both,65-69,bumi,140.9
1988-01-01,both,65-69,chinese,79.9
1988-01-01,both,65-69,indian,20.1
1988-01-01,both,65-69,other,4.4
1988-01-01,both,70-74,overall,167.9
1988-01-01,both,70-74,bumi,87.3
1988-01-01,both,70-74,chinese,64.7
1988-01-01,both,70-74,indian,13.1
1988-01-01,both,70-74,other,2.8
1988-01-01,both,75-79,overall,108.5
1988-01-01,both,75-79,bumi,52.0
1988-01-01,both,75-79,chinese,46.8
1988-01-01,both,75-79,indian,8.6
1988-01-01,both,75-79,other,1.2
1988-01-01,both,80+,overall,104.6
1988-01-01,both,80+,bumi,50.9
1988-01-01,both,80+,chinese,49.0
1988-01-01,both,80+,indian,4.1
1988-01-01,both,80+,other,0.6
1988-01-01,female,overall,overall,8493.1
1988-01-01,female,overall,bumi,5193.5
1988-01-01,female,overall,chinese,2417.5
1988-01-01,female,overall,indian,671.7
1988-01-01,female,overall,other,210.4
1988-01-01,female,0-4,overall,1191.0
1988-01-01,female,0-4,bumi,821.1
1988-01-01,female,0-4,chinese,252.8
1988-01-01,female,0-4,indian,83.8
1988-01-01,female,0-4,other,33.4
1988-01-01,female,5-9,overall,1047.7
1988-01-01,female,5-9,bumi,676.9
1988-01-01,female,5-9,chinese,265.2
1988-01-01,female,5-9,indian,81.0
1988-01-01,female,5-9,other,24.7
1988-01-01,female,10-14,overall,937.2
1988-01-01,female,10-14,bumi,583.9
1988-01-01,female,10-14,chinese,259.9
1988-01-01,female,10-14,indian,73.5
1988-01-01,female,10-14,other,19.9
1988-01-01,female,15-19,overall,858.3
1988-01-01,female,15-19,bumi,536.4
1988-01-01,female,15-19,chinese,228.6
1988-01-01,female,15-19,indian,66.5
1988-01-01,female,15-19,other,26.9
1988-01-01,female,20-24,overall,824.7
1988-01-01,female,20-24,bumi,504.0
1988-01-01,female,20-24,chinese,223.1
1988-01-01,female,20-24,indian,68.4
1988-01-01,female,20-24,other,29.2
1988-01-01,female,25-29,overall,762.5
1988-01-01,female,25-29,bumi,455.4
1988-01-01,female,25-29,chinese,217.0
1988-01-01,female,25-29,indian,67.5
1988-01-01,female,25-29,other,22.6
1988-01-01,female,30-34,overall,643.3
1988-01-01,female,30-34,bumi,369.0
1988-01-01,female,30-34,chinese,198.6
1988-01-01,female,30-34,indian,58.7
1988-01-01,female,30-34,other,17.0
1988-01-01,female,35-39,overall,518.8
1988-01-01,female,35-39,bumi,291.9
1988-01-01,female,35-39,chinese,171.4
1988-01-01,female,35-39,indian,45.5
1988-01-01,female,35-39,other,10.0
1988-01-01,female,40-44,overall,392.6
1988-01-01,female,40-44,bumi,219.3
1988-01-01,female,40-44,chinese,134.7
1988-01-01,female,40-44,indian,31.5
1988-01-01,female,40-44,other,7.1
1988-01-01,female,45-49,overall,321.7
1988-01-01,female,45-49,bumi,180.7
1988-01-01,female,45-49,chinese,111.1
1988-01-01,female,45-49,indian,24.7
1988-01-01,female,45-49,other,5.2
1988-01-01,female,50-54,overall,273.0
1988-01-01,female,50-54,bumi,156.4
1988-01-01,female,50-54,chinese,91.1
1988-01-01,female,50-54,indian,21.5
1988-01-01,female,50-54,other,4.0
1988-01-01,female,55-59,overall,220.6
1988-01-01,female,55-59,bumi,128.3
1988-01-01,female,55-59,chinese,71.8
1988-01-01,female,55-59,indian,17.0
1988-01-01,female,55-59,other,3.5
1988-01-01,female,60-64,overall,170.7
1988-01-01,female,60-64,bumi,99.7
1988-01-01,female,60-64,chinese,56.3
1988-01-01,female,60-64,indian,12.4
1988-01-01,female,60-64,other,2.3
1988-01-01,female,65-69,overall,127.7
1988-01-01,female,65-69,bumi,71.7
1988-01-01,female,65-69,chinese,45.1
1988-01-01,female,65-69,indian,8.7
1988-01-01,female,65-69,other,2.2
1988-01-01,female,70-74,overall,86.9
1988-01-01,female,70-74,bumi,43.5
1988-01-01,female,70-74,chinese,36.6
1988-01-01,female,70-74,indian,5.5
1988-01-01,female,70-74,other,1.4
1988-01-01,female,75-79,overall,57.6
1988-01-01,female,75-79,bumi,26.6
1988-01-01,female,75-79,chinese,26.9
1988-01-01,female,75-79,indian,3.5
1988-01-01,female,75-79,other,0.6
1988-01-01,female,80+,overall,58.8
1988-01-01,female,80+,bumi,29.0
1988-01-01,female,80+,chinese,27.6
1988-01-01,female,80+,indian,1.9
1988-01-01,female,80+,other,0.4
1988-01-01,male,overall,overall,8726.0
1988-01-01,male,overall,bumi,5287.0
1988-01-01,male,overall,chinese,2475.9
1988-01-01,male,overall,indian,696.5
1988-01-01,male,overall,other,266.6
1988-01-01,male,0-4,overall,1260.5
1988-01-01,male,0-4,bumi,865.4
1988-01-01,male,0-4,chinese,271.9
1988-01-01,male,0-4,indian,87.3
1988-01-01,male,0-4,other,35.9
1988-01-01,male,5-9,overall,1106.4
1988-01-01,male,5-9,bumi,711.2
1988-01-01,male,5-9,chinese,283.6
1988-01-01,male,5-9,indian,85.0
1988-01-01,male,5-9,other,26.7
1988-01-01,male,10-14,overall,969.3
1988-01-01,male,10-14,bumi,599.1
1988-01-01,male,10-14,chinese,274.2
1988-01-01,male,10-14,indian,75.3
1988-01-01,male,10-14,other,20.6
1988-01-01,male,15-19,overall,880.0
1988-01-01,male,15-19,bumi,538.8
1988-01-01,male,15-19,chinese,239.5
1988-01-01,male,15-19,indian,67.4
1988-01-01,male,15-19,other,34.2
1988-01-01,male,20-24,overall,838.8
1988-01-01,male,20-24,bumi,506.9
1988-01-01,male,20-24,chinese,224.5
1988-01-01,male,20-24,indian,68.8
1988-01-01,male,20-24,other,38.6
1988-01-01,male,25-29,overall,768.4
1988-01-01,male,25-29,bumi,453.9
1988-01-01,male,25-29,chinese,214.8
1988-01-01,male,25-29,indian,67.2
1988-01-01,male,25-29,other,32.6
1988-01-01,male,30-34,overall,653.0
1988-01-01,male,30-34,bumi,370.1
1988-01-01,male,30-34,chinese,199.2
1988-01-01,male,30-34,indian,58.5
1988-01-01,male,30-34,other,25.3
1988-01-01,male,35-39,overall,537.8
1988-01-01,male,35-39,bumi,297.0
1988-01-01,male,35-39,chinese,178.8
1988-01-01,male,35-39,indian,46.1
1988-01-01,male,35-39,other,15.9
1988-01-01,male,40-44,overall,417.8
1988-01-01,male,40-44,bumi,227.9
1988-01-01,male,40-44,chinese,146.1
1988-01-01,male,40-44,indian,32.6
1988-01-01,male,40-44,other,11.2
1988-01-01,male,45-49,overall,340.7
1988-01-01,male,45-49,bumi,183.6
1988-01-01,male,45-49,chinese,123.1
1988-01-01,male,45-49,indian,25.6
1988-01-01,male,45-49,other,8.3
1988-01-01,male,50-54,overall,279.3
1988-01-01,male,50-54,bumi,154.1
1988-01-01,male,50-54,chinese,97.4
1988-01-01,male,50-54,indian,22.2
1988-01-01,male,50-54,other,5.6
1988-01-01,male,55-59,overall,216.3
1988-01-01,male,55-59,bumi,123.0
1988-01-01,male,55-59,chinese,69.9
1988-01-01,male,55-59,indian,19.0
1988-01-01,male,55-59,other,4.4
1988-01-01,male,60-64,overall,162.4
1988-01-01,male,60-64,bumi,95.7
1988-01-01,male,60-64,chinese,48.8
1988-01-01,male,60-64,indian,15.2
1988-01-01,male,60-64,other,2.8
1988-01-01,male,65-69,overall,117.6
1988-01-01,male,65-69,bumi,69.2
1988-01-01,male,65-69,chinese,34.9
1988-01-01,male,65-69,indian,11.4
1988-01-01,male,65-69,other,2.1
1988-01-01,male,70-74,overall,81.0
1988-01-01,male,70-74,bumi,43.8
1988-01-01,male,70-74,chinese,28.1
1988-01-01,male,70-74,indian,7.6
1988-01-01,male,70-74,other,1.5
1988-01-01,male,75-79,overall,50.9
1988-01-01,male,75-79,bumi,25.4
1988-01-01,male,75-79,chinese,19.8
1988-01-01,male,75-79,indian,5.0
1988-01-01,male,75-79,other,0.6
1988-01-01,male,80+,overall,45.8
1988-01-01,male,80+,bumi,21.9
1988-01-01,male,80+,chinese,21.4
1988-01-01,male,80+,indian,2.3
1988-01-01,male,80+,other,0.3
1989-01-01,both,overall,overall,17662.1
1989-01-01,both,overall,bumi,10824.6
1989-01-01,both,overall,chinese,4948.3
1989-01-01,both,overall,indian,1387.8
1989-01-01,both,overall,other,501.3
1989-01-01,both,0-4,overall,2493.2
1989-01-01,both,0-4,bumi,1721.8
1989-01-01,both,0-4,chinese,528.7
1989-01-01,both,0-4,indian,170.6
1989-01-01,both,0-4,other,72.1
1989-01-01,both,5-9,overall,2212.1
1989-01-01,both,5-9,bumi,1447.0
1989-01-01,both,5-9,chinese,543.5
1989-01-01,both,5-9,indian,166.2
1989-01-01,both,5-9,other,55.4
1989-01-01,both,10-14,overall,1944.8
1989-01-01,both,10-14,bumi,1212.8
1989-01-01,both,10-14,chinese,539.9
1989-01-01,both,10-14,indian,151.8
1989-01-01,both,10-14,other,40.2
1989-01-01,both,15-19,overall,1770.4
1989-01-01,both,15-19,bumi,1101.6
1989-01-01,both,15-19,chinese,474.1
1989-01-01,both,15-19,indian,135.8
1989-01-01,both,15-19,other,58.8
1989-01-01,both,20-24,overall,1664.8
1989-01-01,both,20-24,bumi,1026.7
1989-01-01,both,20-24,chinese,433.2
1989-01-01,both,20-24,indian,134.0
1989-01-01,both,20-24,other,70.9
1989-01-01,both,25-29,overall,1573.5
1989-01-01,both,25-29,bumi,945.8
1989-01-01,both,25-29,chinese,432.5
1989-01-01,both,25-29,indian,135.6
1989-01-01,both,25-29,other,59.6
1989-01-01,both,30-34,overall,1348.2
1989-01-01,both,30-34,bumi,775.5
1989-01-01,both,30-34,chinese,405.2
1989-01-01,both,30-34,indian,120.9
1989-01-01,both,30-34,other,46.7
1989-01-01,both,35-39,overall,1104.7
1989-01-01,both,35-39,bumi,620.8
1989-01-01,both,35-39,chinese,358.9
1989-01-01,both,35-39,indian,95.7
1989-01-01,both,35-39,other,29.3
1989-01-01,both,40-44,overall,860.4
1989-01-01,both,40-44,bumi,475.4
1989-01-01,both,40-44,chinese,295.4
1989-01-01,both,40-44,indian,69.7
1989-01-01,both,40-44,other,19.9
1989-01-01,both,45-49,overall,679.9
1989-01-01,both,45-49,bumi,374.1
1989-01-01,both,45-49,chinese,240.1
1989-01-01,both,45-49,indian,51.3
1989-01-01,both,45-49,other,14.5
1989-01-01,both,50-54,overall,570.4
1989-01-01,both,50-54,bumi,319.9
1989-01-01,both,50-54,chinese,196.2
1989-01-01,both,50-54,indian,44.3
1989-01-01,both,50-54,other,10.0
1989-01-01,both,55-59,overall,452.7
1989-01-01,both,55-59,bumi,258.5
1989-01-01,both,55-59,chinese,148.7
1989-01-01,both,55-59,indian,36.8
1989-01-01,both,55-59,other,8.7
1989-01-01,both,60-64,overall,344.5
1989-01-01,both,60-64,bumi,201.1
1989-01-01,both,60-64,chinese,109.5
1989-01-01,both,60-64,indian,28.2
1989-01-01,both,60-64,other,5.7
1989-01-01,both,65-69,overall,251.6
1989-01-01,both,65-69,bumi,145.3
1989-01-01,both,65-69,chinese,81.5
1989-01-01,both,65-69,indian,20.4
1989-01-01,both,65-69,other,4.4
1989-01-01,both,70-74,overall,171.6
1989-01-01,both,70-74,bumi,90.4
1989-01-01,both,70-74,chinese,64.6
1989-01-01,both,70-74,indian,13.3
1989-01-01,both,70-74,other,3.2
1989-01-01,both,75-79,overall,111.3
1989-01-01,both,75-79,bumi,54.7
1989-01-01,both,75-79,chinese,46.7
1989-01-01,both,75-79,indian,8.8
1989-01-01,both,75-79,other,1.1
1989-01-01,both,80+,overall,108.1
1989-01-01,both,80+,bumi,53.2
1989-01-01,both,80+,chinese,49.5
1989-01-01,both,80+,indian,4.6
1989-01-01,both,80+,other,0.8
1989-01-01,female,overall,overall,8705.6
1989-01-01,female,overall,bumi,5358.7
1989-01-01,female,overall,chinese,2443.3
1989-01-01,female,overall,indian,682.3
1989-01-01,female,overall,other,221.2
1989-01-01,female,0-4,overall,1211.6
1989-01-01,female,0-4,bumi,839.0
1989-01-01,female,0-4,chinese,254.6
1989-01-01,female,0-4,indian,83.6
1989-01-01,female,0-4,other,34.5
1989-01-01,female,5-9,overall,1074.2
1989-01-01,female,5-9,bumi,704.2
1989-01-01,female,5-9,chinese,262.5
1989-01-01,female,5-9,indian,80.9
1989-01-01,female,5-9,other,26.6
1989-01-01,female,10-14,overall,954.8
1989-01-01,female,10-14,bumi,597.6
1989-01-01,female,10-14,chinese,262.5
1989-01-01,female,10-14,indian,75.0
1989-01-01,female,10-14,other,19.7
1989-01-01,female,15-19,overall,873.9
1989-01-01,female,15-19,bumi,548.7
1989-01-01,female,15-19,chinese,231.3
1989-01-01,female,15-19,indian,67.5
1989-01-01,female,15-19,other,26.5
1989-01-01,female,20-24,overall,826.5
1989-01-01,female,20-24,bumi,513.5
1989-01-01,female,20-24,chinese,215.8
1989-01-01,female,20-24,indian,66.9
1989-01-01,female,20-24,other,30.3
1989-01-01,female,25-29,overall,781.6
1989-01-01,female,25-29,bumi,471.5
1989-01-01,female,25-29,chinese,217.4
1989-01-01,female,25-29,indian,68.0
1989-01-01,female,25-29,other,24.8
1989-01-01,female,30-34,overall,667.7
1989-01-01,female,30-34,bumi,386.3
1989-01-01,female,30-34,chinese,202.3
1989-01-01,female,30-34,indian,60.5
1989-01-01,female,30-34,other,18.7
1989-01-01,female,35-39,overall,542.4
1989-01-01,female,35-39,bumi,307.1
1989-01-01,female,35-39,chinese,176.2
1989-01-01,female,35-39,indian,47.7
1989-01-01,female,35-39,other,11.4
1989-01-01,female,40-44,overall,417.0
1989-01-01,female,40-44,bumi,233.1
1989-01-01,female,40-44,chinese,141.9
1989-01-01,female,40-44,indian,34.2
1989-01-01,female,40-44,other,7.7
1989-01-01,female,45-49,overall,329.5
1989-01-01,female,45-49,bumi,184.8
1989-01-01,female,45-49,chinese,113.9
1989-01-01,female,45-49,indian,25.2
1989-01-01,female,45-49,other,5.6
1989-01-01,female,50-54,overall,281.0
1989-01-01,female,50-54,bumi,160.6
1989-01-01,female,50-54,chinese,94.4
1989-01-01,female,50-54,indian,21.9
1989-01-01,female,50-54,other,4.2
1989-01-01,female,55-59,overall,227.9
1989-01-01,female,55-59,bumi,131.8
1989-01-01,female,55-59,chinese,74.7
1989-01-01,female,55-59,indian,17.7
1989-01-01,female,55-59,other,3.8
1989-01-01,female,60-64,overall,176.5
1989-01-01,female,60-64,bumi,102.8
1989-01-01,female,60-64,chinese,58.2
1989-01-01,female,60-64,indian,12.8
1989-01-01,female,60-64,other,2.7
1989-01-01,female,65-69,overall,131.1
1989-01-01,female,65-69,bumi,74.1
1989-01-01,female,65-69,chinese,45.8
1989-01-01,female,65-69,indian,9.0
1989-01-01,female,65-69,other,2.3
1989-01-01,female,70-74,overall,89.8
1989-01-01,female,70-74,bumi,45.6
1989-01-01,female,70-74,chinese,36.9
1989-01-01,female,70-74,indian,5.7
1989-01-01,female,70-74,other,1.5
1989-01-01,female,75-79,overall,58.7
1989-01-01,female,75-79,bumi,27.6
1989-01-01,female,75-79,chinese,26.8
1989-01-01,female,75-79,indian,3.7
1989-01-01,female,75-79,other,0.6
1989-01-01,female,80+,overall,61.3
1989-01-01,female,80+,bumi,30.4
1989-01-01,female,80+,chinese,28.3
1989-01-01,female,80+,indian,2.1
1989-01-01,female,80+,other,0.4
1989-01-01,male,overall,overall,8956.4
1989-01-01,male,overall,bumi,5465.8
1989-01-01,male,overall,chinese,2505.0
1989-01-01,male,overall,indian,705.5
1989-01-01,male,overall,other,280.1
1989-01-01,male,0-4,overall,1281.5
1989-01-01,male,0-4,bumi,882.8
1989-01-01,male,0-4,chinese,274.1
1989-01-01,male,0-4,indian,87.0
1989-01-01,male,0-4,other,37.6
1989-01-01,male,5-9,overall,1137.9
1989-01-01,male,5-9,bumi,742.8
1989-01-01,male,5-9,chinese,281.0
1989-01-01,male,5-9,indian,85.3
1989-01-01,male,5-9,other,28.8
1989-01-01,male,10-14,overall,990.0
1989-01-01,male,10-14,bumi,615.3
1989-01-01,male,10-14,chinese,277.4
1989-01-01,male,10-14,indian,76.8
1989-01-01,male,10-14,other,20.6
1989-01-01,male,15-19,overall,896.5
1989-01-01,male,15-19,bumi,552.9
1989-01-01,male,15-19,chinese,242.9
1989-01-01,male,15-19,indian,68.3
1989-01-01,male,15-19,other,32.4
1989-01-01,male,20-24,overall,838.3
1989-01-01,male,20-24,bumi,513.1
1989-01-01,male,20-24,chinese,217.3
1989-01-01,male,20-24,indian,67.2
1989-01-01,male,20-24,other,40.6
1989-01-01,male,25-29,overall,791.9
1989-01-01,male,25-29,bumi,474.3
1989-01-01,male,25-29,chinese,215.2
1989-01-01,male,25-29,indian,67.6
1989-01-01,male,25-29,other,34.8
1989-01-01,male,30-34,overall,680.5
1989-01-01,male,30-34,bumi,389.2
1989-01-01,male,30-34,chinese,202.9
1989-01-01,male,30-34,indian,60.4
1989-01-01,male,30-34,other,27.9
1989-01-01,male,35-39,overall,562.3
1989-01-01,male,35-39,bumi,313.7
1989-01-01,male,35-39,chinese,182.8
1989-01-01,male,35-39,indian,47.9
1989-01-01,male,35-39,other,17.9
1989-01-01,male,40-44,overall,443.4
1989-01-01,male,40-44,bumi,242.3
1989-01-01,male,40-44,chinese,153.5
1989-01-01,male,40-44,indian,35.5
1989-01-01,male,40-44,other,12.2
1989-01-01,male,45-49,overall,350.4
1989-01-01,male,45-49,bumi,189.3
1989-01-01,male,45-49,chinese,126.2
1989-01-01,male,45-49,indian,26.1
1989-01-01,male,45-49,other,8.9
1989-01-01,male,50-54,overall,289.4
1989-01-01,male,50-54,bumi,159.3
1989-01-01,male,50-54,chinese,101.8
1989-01-01,male,50-54,indian,22.4
1989-01-01,male,50-54,other,5.8
1989-01-01,male,55-59,overall,224.8
1989-01-01,male,55-59,bumi,126.7
1989-01-01,male,55-59,chinese,74.0
1989-01-01,male,55-59,indian,19.1
1989-01-01,male,55-59,other,4.9
1989-01-01,male,60-64,overall,167.9
1989-01-01,male,60-64,bumi,98.2
1989-01-01,male,60-64,chinese,51.4
1989-01-01,male,60-64,indian,15.3
1989-01-01,male,60-64,other,3.0
1989-01-01,male,65-69,overall,120.4
1989-01-01,male,65-69,bumi,71.2
1989-01-01,male,65-69,chinese,35.7
1989-01-01,male,65-69,indian,11.4
1989-01-01,male,65-69,other,2.1
1989-01-01,male,70-74,overall,81.8
1989-01-01,male,70-74,bumi,44.8
1989-01-01,male,70-74,chinese,27.7
1989-01-01,male,70-74,indian,7.6
1989-01-01,male,70-74,other,1.7
1989-01-01,male,75-79,overall,52.6
1989-01-01,male,75-79,bumi,27.1
1989-01-01,male,75-79,chinese,19.9
1989-01-01,male,75-79,indian,5.1
1989-01-01,male,75-79,other,0.6
1989-01-01,male,80+,overall,46.8
1989-01-01,male,80+,bumi,22.8
1989-01-01,male,80+,chinese,21.2
1989-01-01,male,80+,indian,2.5
1989-01-01,male,80+,other,0.3
1990-01-01,both,overall,overall,18102.4
1990-01-01,both,overall,bumi,11178.6
1990-01-01,both,overall,chinese,4989.9
1990-01-01,both,overall,indian,1408.7
1990-01-01,both,overall,other,525.2
1990-01-01,both,0-4,overall,2499.7
1990-01-01,both,0-4,bumi,1739.8
1990-01-01,both,0-4,chinese,514.8
1990-01-01,both,0-4,indian,170.8
1990-01-01,both,0-4,other,74.4
1990-01-01,both,5-9,overall,2292.9
1990-01-01,both,5-9,bumi,1522.7
1990-01-01,both,5-9,chinese,545.4
1990-01-01,both,5-9,indian,165.8
1990-01-01,both,5-9,other,59.0
1990-01-01,both,10-14,overall,1982.3
1990-01-01,both,10-14,bumi,1244.4
1990-01-01,both,10-14,chinese,542.0
1990-01-01,both,10-14,indian,154.5
1990-01-01,both,10-14,other,41.4
1990-01-01,both,15-19,overall,1808.4
1990-01-01,both,15-19,bumi,1133.8
1990-01-01,both,15-19,chinese,481.2
1990-01-01,both,15-19,indian,138.9
1990-01-01,both,15-19,other,54.5
1990-01-01,both,20-24,overall,1671.3
1990-01-01,both,20-24,bumi,1044.4
1990-01-01,both,20-24,chinese,421.6
1990-01-01,both,20-24,indian,131.6
1990-01-01,both,20-24,other,73.7
1990-01-01,both,25-29,overall,1603.8
1990-01-01,both,25-29,bumi,973.7
1990-01-01,both,25-29,chinese,430.0
1990-01-01,both,25-29,indian,135.6
1990-01-01,both,25-29,other,64.5
1990-01-01,both,30-34,overall,1401.1
1990-01-01,both,30-34,bumi,815.3
1990-01-01,both,30-34,chinese,410.4
1990-01-01,both,30-34,indian,124.1
1990-01-01,both,30-34,other,51.3
1990-01-01,both,35-39,overall,1160.8
1990-01-01,both,35-39,bumi,656.4
1990-01-01,both,35-39,chinese,370.7
1990-01-01,both,35-39,indian,100.6
1990-01-01,both,35-39,other,33.0
1990-01-01,both,40-44,overall,912.4
1990-01-01,both,40-44,bumi,504.1
1990-01-01,both,40-44,chinese,310.9
1990-01-01,both,40-44,indian,75.7
1990-01-01,both,40-44,other,21.7
1990-01-01,both,45-49,overall,695.0
1990-01-01,both,45-49,bumi,384.9
1990-01-01,both,45-49,chinese,243.3
1990-01-01,both,45-49,indian,51.6
1990-01-01,both,45-49,other,15.1
1990-01-01,both,50-54,overall,589.8
1990-01-01,both,50-54,bumi,329.3
1990-01-01,both,50-54,chinese,204.1
